TransactionAmount,TransactionType,Location,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,AccountBalance_Binned,Target
27036.8565,Debit,San Diego,ATM,4358.000000000001,Doctor,23500.0,5.0,76053120.24539998,1,2
721948.384,Debit,Houston,ATM,4234.000000000001,Doctor,40900.0,5.0,204687828.00339997,2,3
242331.82650000002,Debit,Mesa,Online,1196.0,Student,16250.0,5.0,16697010.388999997,0,1
354028.085,Debit,Raleigh,Online,1630.0,Student,7260.000000000001,5.0,127479778.91439997,1,2
176822.2875,Debit,Oklahoma City,ATM,1134.0,Student,49890.0,5.0,11628951.3732,0,1
13585.718,Credit,Seattle,ATM,2312.0,Doctor,40320.0,5.0,198109333.57539997,2,2
328929.527,Credit,Indianapolis,Branch,4172.000000000001,Retired,84400.0,5.0,41599036.70759999,0,3
203839.6955,Credit,Detroit,Branch,3180.0,Engineer,24950.0,5.0,135306134.29359996,1,3
1565705.1060000001,Debit,Nashville,ATM,3428.0,Doctor,34810.0,5.0,15202344.3212,0,1
34117.413,Credit,Albuquerque,Online,3242.0,Engineer,17120.000000000004,5.0,113056184.41479997,1,0
364620.13700000005,Debit,Memphis,Online,1320.0,Student,50180.0,5.0,22743810.129399996,0,1
948909.9619999999,Credit,Mesa,Branch,1506.0,Student,32200.0,5.0,24100717.584799998,0,1
1500080.436,Debit,Memphis,ATM,1630.0,Student,35680.0,5.0,2822070.0605999995,0,1
320429.02150000003,Debit,Louisville,Online,1134.0,Student,38870.0,5.0,4462081.8782,0,1
893128.9924999999,Debit,Denver,ATM,2250.0,Engineer,37420.0,5.0,51556038.78959999,0,3
1066497.0899999999,Credit,Austin,Branch,1196.0,Student,45830.0,5.0,16829562.1424,0,0
945858.9905000001,Debit,Columbus,Online,2436.0,Engineer,67870.0,5.0,76019796.34779999,1,0
35844.378000000004,Credit,Albuquerque,Branch,3676.0,Retired,30750.0,5.0,118245935.16379997,1,0
137159.65800000002,Credit,Columbus,Online,1134.0,Student,49020.0,5.0,97719306.84659998,1,0
113826.44200000001,Debit,Los Angeles,Branch,4420.000000000001,Retired,11029.999999999998,5.0,85554596.54859999,1,3
164580.0245,Debit,Las Vegas,Branch,2374.0,Doctor,26980.0,5.0,136065591.8706,1,3
100164.23000000001,Debit,Atlanta,Online,2436.0,Engineer,34810.0,5.0,133517801.37819998,1,0
663615.3439999999,Debit,Fort Worth,Online,1382.0,Student,41190.0,13.0,20864729.099999998,0,3
279269.689,Debit,Raleigh,Online,1320.0,Student,27850.0,5.0,28726491.120399997,0,2
14372.4465,Credit,Houston,Online,4048.0000000000005,Retired,80050.0,5.0,54072141.825799994,0,3
473821.89050000004,Debit,Miami,ATM,1444.0,Student,45830.0,21.0,10017354.128999999,0,1
77368.292,Debit,Milwaukee,Branch,2312.0,Engineer,27560.0,5.0,39966760.7948,0,1
244557.6925,Debit,Las Vegas,Online,2746.0,Doctor,57140.0,5.0,26362577.134399995,0,3
107782.06450000001,Debit,Detroit,Branch,1692.0,Student,82080.0,5.0,20108841.9406,0,3
54322.9035,Credit,Miami,Online,3676.0,Doctor,5810.0,5.0,123989844.47779997,1,1
113442.672,Debit,Baltimore,ATM,1816.0,Doctor,74540.0,5.0,146143839.38359997,1,0
